PMID	DOI	Title	PMCID
22496539	10.1093/gerona/gls103	Distinguishing between longevity and buffered-deleterious genotypes for exceptional human longevity: the case of the MTP gene : 	PMC3668387
23061800	10.1111/acel.12015	Gene expression analysis of mTOR pathway: association with human longevity : 	
23286790	10.1111/acel.12039	Genome-wide linkage analysis for human longevity: Genetics of Healthy Aging Study : 	PMC3725963
23321625	10.1038/ejhg.2012.303	Meta-analysis of telomere length in 19,713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect : 	PMC3778341
23408906	10.1371/journal.pgen.1003266	A meta-analysis of thyroid-related traits reveals novel loci and gender-specific differences in the regulation of thyroid function : 	PMC3567175
23423909	10.1002/bies.201200148	Identifying the genomic determinants of aging and longevity in human population studies: progress and challenges : 	PMC3633240
23457540	10.1371/journal.pone.0056262	Non-homologous end-joining pathway associated with occurrence of myocardial infarction: gene set analysis of genome-wide association study data : 	PMC3574159
23535734	10.1038/ng.2528	Identification of seven loci affecting mean telomere length and their association with disease : 	PMC4006270
23674605	10.2337/db13-0227	The CTRB1/2 locus affects diabetes susceptibility and treatment via the incretin pathway : 	PMC3749354
24182360	10.1017/thg.2013.73	Aging as accelerated accumulation of somatic variants: whole-genome sequencing of centenarian and middle-aged monozygotic twin pairs : 	
24425829	10.1093/ije/dyt267	Leukocyte telomere length associates with prospective mortality independent of immune-related parameters and known genetic markers : 	PMC4052133
24688116	10.1093/hmg/ddu139	Genome-wide association meta-analysis of human longevity identifies a novel locus conferring survival beyond 90 years of age : 	PMC4103672
24724616	10.1111/dme.12464	Sex-specific effects of naturally occurring variants in the dopamine receptor D2 locus on insulin secretion and type 2 diabetes susceptibility : 	
25064619	10.1007/s10654-014-9940-1	Association of adiponectin and leptin with relative telomere length in seven independent cohorts including 11,448 participants : 	
25199915	10.1093/gerona/glu166	GWAS of longevity in CHARGE consortium confirms APOE and FOXO3 candidacy : 	PMC4296168
25663218	10.1161/CIRCGENETICS.114.000858	Multiethnic genome-wide association study of cerebral white matter hyperintensities on MRI : 	PMC4427240
25705849	10.1038/jid.2015.62	A Genome-Wide Association Study Identifies the Skin Color Genes IRF4, MC1R, ASIP, and BNC2 Influencing Facial Pigmented Spots : 	
25751400	10.1038/ncomms7065	Genome of The Netherlands population-specific imputations identify an ABCA6 variant associated with cholesterol levels : 	PMC4366498
25855712	10.1093/ije/dyv031	LDL cholesterol still a problem in old age? A Mendelian randomization study : 	
25916589	10.1007/978-1-4939-2404-2_6	Exome and whole genome sequencing in aging and longevity : 	
25961943	10.1038/ng.3300	The impact of low-frequency and rare variants on lipid levels : 	PMC4757735
26132169	10.1371/journal.pgen.1005230	Discovery and Fine-Mapping of Glycaemic and Obesity-Related Trait Loci Using High-Density Imputation : 	PMC4488845
26446717	10.1111/acel.12407	Copy number variation associates with mortality in long-lived individuals: a genome-wide assessment : 	PMC4717275
26566388	10.1186/s12979-015-0048-6	IL7R gene expression network associates with human healthy ageing : 	PMC4642670
28853436	10.1038/ncomms16083	Small nucleoli are a cellular hallmark of longevity : 	PMC5582349
28853436	10.1038/ncomms16083	Small nucleoli are a cellular hallmark of longevity : 	PMC5582349
27966583	10.1038/srep38980	The effect of standardized food intake on the association between BMI and 1H-NMR metabolites : 	PMC5155225
27966583	10.1038/srep38980	The effect of standardized food intake on the association between BMI and 1H-NMR metabolites : 	PMC5155225
26833098	10.1038/ncomms10494	Genome-wide meta-analysis uncovers novel loci influencing circulating leptin levels : 	PMC4740377
27672102	10.1093/gerona/glw185	Systemic Age-Associated DNA Hypermethylation of ELOVL2 Gene: In Vivo and In Vitro Evidences of a Cell Replication Process : 	PMC5861890
26824634	10.18632/aging.100877	Metabolic effects of a 13-weeks lifestyle intervention in older adults: The Growing Old Together Study : 	PMC4761717
26825711	10.1182/blood-2015-12-685925	Uncompromised 10-year survival of oldest old carrying somatic mutations in DNMT3A and TET2 : 	PMC4797027
26912274	10.1038/srep21243	Novel loci and pathways significantly associated with longevity : 	PMC4766491
26914832	10.1371/journal.pone.0149992	Association between the rs7903146 Polymorphism in the TCF7L2 Gene and Parameters Derived with Continuous Glucose Monitoring in Individuals without Diabetes : 	PMC4767367
27005778	10.1038/ncomms11122	Genome-wide study for circulating metabolites identifies 62 loci and reveals novel systemic effects of LPA : 	PMC4814583
27036123	10.1136/jmedgenet-2015-103439	Meta-analysis of 49 549 individuals imputed with the 1000 Genomes Project reveals an exonic damaging variant in ANGPTL4 determining fasting TG levels : 	PMC4941146
27133870	10.1016/j.cub.2016.03.008	The MC1R Gene and Youthful Looks : 	
27177884	10.1177/0962280216648356	Survival analysis with delayed entry in selected families with application to human longevity : 	
27177884	10.1177/0962280216648356	Survival analysis with delayed entry in selected families with application to human longevity : 	
27350042	10.1186/s13059-016-1000-6	Blood lipids influence DNA methylation in circulating cells : 	PMC4922056
27374409	10.1016/j.exger.2016.06.013	Employing biomarkers of healthy ageing for leveraging genetic studies into human longevity : 	
27540764	10.18632/aging.101017	Assessment of the contribution of APOE gene variants to metabolic phenotypes associated with familial longevity at middle age : 	PMC5032696
27581100	10.1038/gene.2016.35	Maternal and child cytokine relationship in early life is not altered by cytokine gene polymorphisms : 	PMC5223084
27654999	10.1186/s13059-016-1053-6	Age-related accrual of methylomic variability is linked to fundamental ageing mechanisms : 	PMC5032245
27918533	10.1038/ng.3737	Identification of context-dependent expression quantitative trait loci in whole blood : 	
27918533	10.1038/ng.3737	Identification of context-dependent expression quantitative trait loci in whole blood : 	
27918535	10.1038/ng.3721	Disease variants alter transcription factor levels and methylation of their binding sites : 	
27918535	10.1038/ng.3721	Disease variants alter transcription factor levels and methylation of their binding sites : 	
27966583	10.1038/srep38980	The effect of standardized food intake on the association between BMI and (1)H-NMR metabolites : 	PMC5155225
27966583	10.1038/srep38980	The effect of standardized food intake on the association between BMI and (1)H-NMR metabolites : 	PMC5155225
27918533	10.1038/ng.3737	Identification of context-dependent expression quantitative trait loci in whole blood : 	
27918533	10.1038/ng.3737	Identification of context-dependent expression quantitative trait loci in whole blood : 	
27918535	10.1038/ng.3721	Disease variants alter transcription factor levels and methylation of their binding sites : 	
27918535	10.1038/ng.3721	Disease variants alter transcription factor levels and methylation of their binding sites : 	
28077804	10.18632/aging.101151	The complex genetics of gait speed: genome-wide meta-analysis approach : 	PMC5310665
28418400	10.1038/tp.2017.73	Short telomere length is associated with impaired cognitive performance in European ancestry cohorts : 	PMC5416710
28855172	10.1136/annrheumdis-2017-211214	Genome-wide association and functional studies identify a role for matrix Gla protein in osteoarthritis of the hand : 	PMC5788019
28936587	10.1007/s00125-017-4436-7	Metabolite ratios as potential biomarkers for type 2 diabetes: a DIRECT study : 	PMC6448944
29055820	10.1016/j.bbagen.2017.10.012	IgG glycosylation and DNA methylation are interconnected with smoking : 	
27177884	10.1177/0962280216648356	Survival analysis with delayed entry in selected families with application to human longevity : 	
27177884	10.1177/0962280216648356	Survival analysis with delayed entry in selected families with application to human longevity : 	
29343764	10.1038/s41467-017-02662-2	Genome-wide association study in 79,366 European-ancestry individuals informs the genetic architecture of 25-hydroxyvitamin D levels : 	PMC5772647
29535710	10.3389/fimmu.2018.00277	Genome-Wide Association Study on Immunoglobulin G Glycosylation Patterns : 	PMC5834439
29555444	10.1016/j.jid.2017.12.037	Facial Wrinkles in Europeans: A Genome-Wide Association Study : 	
30294719	10.1001/jamanetworkopen.2018.1670	Sex Differences in Genetic Associations With Longevity : 	PMC6173523
30367059	10.1038/s41467-018-06356-1	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation : 	PMC6203810
30388399	10.1016/j.ajhg.2018.09.009	Genome Analyses of >200,000 Individuals Identify 58 Loci for Chronic Inflammation and Highlight Pathways that Link Inflammation and Complex Disorders : 	PMC6218410
31406173	10.1038/s41598-019-47282-6	Metabolomics reveals a link between homocysteine and lipid metabolism and leukocyte telomere length: the ENGAGE consortium : 	PMC6690953
31413261	10.1038/s41467-019-11558-2	A meta-analysis of genome-wide association studies identifies multiple longevity genes : 	PMC6694136
31431621	10.1038/s41467-019-11311-9	A metabolic profile of all-cause mortality risk identified in an observational study of 44,168 individuals : 	PMC6702196
32271991	10.1002/mnfr.201900818	Lifestyle-Intervention-Induced Reduction of Abdominal Fat Is Reflected by a Decreased Circulating Glycerol Level and an Increased HDL Diameter : 	PMC7317364
28351387	10.1186/s13059-017-1187-1	Dietary restriction protects from age-associated DNA methylation and induces epigenetic reprogramming of lipid metabolism : 	PMC5370449
28534519	10.1038/ncomms15458	Two forms of death in ageing Caenorhabditis elegans : 	PMC5457527
28699890	10.7554/eLife.24662	Changes of mitochondrial ultrastructure and function during ageing in mice and Drosophila : 	PMC5580880
28837401	10.1080/19336934.2017.1369638	Complex Roles of Myoglianin in Regulating Adult Performance and Lifespan : 	PMC5721940
28855586	10.1038/s41598-017-10225-0	Pseudo-acetylation of multiple sites on human Tau proteins alters Tau phosphorylation and microtubule binding, and ameliorates amyloid beta toxicity : 	PMC5577152
28916541	10.15252/msb.20177663	A proteomic atlas of insulin signalling reveals tissue-specific mechanisms of longevity assurance : 	PMC5615923
29045833	10.1016/j.celrep.2017.09.042	Intestinal Fork Head Regulates Nutrient Absorption and Promotes Longevity : 	PMC5656751
36198694	10.1038/s41467-022-33467-7	Thermosensation in Caenorhabditis elegans is linked to ubiquitin-dependent protein turnover via insulin and calcineurin signalling : 	PMC9534930
34702826	10.1038/s41467-021-26429-y	Structural basis for protein glutamylation by the Legionella pseudokinase SidJ : 	PMC8548325
34285384	10.1038/s41418-021-00830-y	Serine-ubiquitination regulates Golgi morphology and the secretory pathway upon Legionella infection : 	PMC8481228
28650317	10.7554/eLife.28533	Serine ADP-ribosylation reversal by the hydrolase ARH3 : 	PMC5552275
28520971	10.1093/nar/gkx446	Mass spectrometry for serine ADP-ribosylation? Think o-glycosylation! : 	PMC5499872
28190768	10.1016/j.molcel.2017.01.003	Serine ADP-Ribosylation Depends on HPF1 : 	PMC5344681
19373234	10.1038/nprot.2009.36	A practical guide to the MaxQuant computational platform for SILAC-based quantitative proteomics : 	
35822019	10.3389/fragi.2021.707372	The Multifaceted Role of Nutrient Sensing and mTORC1 Signaling in Physiology and Aging : 	PMC9261424
33497611	10.1016/j.cell.2020.12.024	G3BPs tether the TSC complex to lysosomes and suppress mTORC1 signaling : 	PMC7868890
34245671	10.1016/j.molcel.2021.06.017	An mTORC1-GRASP55 signaling axis controls unconventional secretion to reshape the extracellular proteome upon stress : 	PMC8382303
33974911	10.1016/j.molcel.2021.04.019	TSC1 binding to lysosomal PIPs is required for TSC complex translocation and mTORC1 regulation : 	
29880855	10.1038/s41467-018-04388-1	Modular ssDNA binding and inhibition of telomerase activity by designer PPR proteins : 	PMC5992170
29880855	10.1038/s41467-018-04388-1	Modular ssDNA binding and inhibition of telomerase activity by designer PPR proteins : 	PMC5992170
35191183	10.1111/febs.16408	The mechanosensor Filamin A/Cheerio promotes tumourigenesis via specific interactions with components of the cell cortex : 	
30445039	10.1016/j.cell.2018.10.015	Food Perception Primes Hepatic ER Homeostasis via Melanocortin-Dependent Control of mTOR Activation : 	PMC6541012
30445039	10.1016/j.cell.2018.10.015	Food Perception Primes Hepatic ER Homeostasis via Melanocortin-Dependent Control of mTOR Activation : 	PMC6541012
30420558	10.15252/embj.201899576	Lipin1 deficiency causes sarcoplasmic reticulum stress and chaperone‐responsive myopathy : 	PMC6315296
30420558	10.15252/embj.201899576	Lipin1 deficiency causes sarcoplasmic reticulum stress and chaperone‐responsive myopathy : 	PMC6315296
29301859	10.15252/embj.201797909	PARL partitions the lipid transfer protein STARD7 between the cytosol and mitochondria : 	PMC5813258
29301859	10.15252/embj.201797909	PARL partitions the lipid transfer protein STARD7 between the cytosol and mitochondria : 	PMC5813258
28712724	10.1016/j.molcel.2017.06.013	Acylglycerol Kinase Mutated in Sengers Syndrome Is a Subunit of the TIM22 Protein Translocase in Mitochondria : 	
28712724	10.1016/j.molcel.2017.06.013	Acylglycerol Kinase Mutated in Sengers Syndrome Is a Subunit of the TIM22 Protein Translocase in Mitochondria : 	
22749882	10.1016/j.bbamcr.2012.06.025	Proteolytic control of mitochondrial function and morphogenesis : 	
22749882	10.1016/j.bbamcr.2012.06.025	Proteolytic control of mitochondrial function and morphogenesis : 	
16239145	10.1016/j.cell.2005.08.003	The m-AAA Protease Defective in Hereditary Spastic Paraplegia Controls Ribosome Assembly in Mitochondria : 	
16239145	10.1016/j.cell.2005.08.003	The m-AAA Protease Defective in Hereditary Spastic Paraplegia Controls Ribosome Assembly in Mitochondria : 	
11498003	10.1042/bst0290431	AAA proteases of mitochondria: quality control of membrane proteins and regulatory functions during mitochondrial biogenesis : 	
11359915	10.1091/mbc.12.5.1189	Structural Requirements of Tom40 for Assembly into Preexisting TOM Complexes of Mitochondria : 	PMC34577
35716868	10.1016/j.bbadis.2022.166467	Disease causing mutation (P178L) in mitochondrial transcription factor A results in impaired mitochondrial transcription initiation : 	
34380047	10.1016/j.cell.2021.07.018	TDP-43 condensation properties specify its RNA-binding and regulatory repertoire : 	PMC8445024
31189097	10.1016/j.celrep.2019.05.039	The RNA-Binding Protein YBX3 Controls Amino Acid Levels by Regulating SLC mRNA Abundance : 	
33723245	10.1038/s41467-021-21743-x	Mutagenesis screen uncovers lifespan extension through integrated stress response inhibition without reduced mRNA translation : 	PMC7960713
28829945	10.1016/j.devcel.2017.07.019	CycD/Cdk4 and Discontinuities in Dpp Signaling Activate TORC1 in the Drosophila Wing Disc : 	
28829945	10.1016/j.devcel.2017.07.019	CycD/Cdk4 and Discontinuities in Dpp Signaling Activate TORC1 in the Drosophila Wing Disc : 	
27068588		Identification of additional risk loci for stroke and small vessel disease: a meta-analysis of genome-wide association studies : 	PMC4943223
36113464	10.1016/j.cmet.2022.08.017	OMA1-mediated integrated stress response protects against ferroptosis in mitochondrial cardiomyopathy : 	
34782736	10.1038/s41366-021-01018-7	Timing of objectively-collected physical activity in relation to body weight and metabolic health in sedentary older people: a cross-sectional and prospective analysis : 	
36124412	10.1111/acel.13711	Hexosamine pathway activation improves memory but does not extend lifespan in mice : 	PMC9577955
33690799	10.1093/bfgp/elab005	From mutation to mechanism: deciphering the molecular function of genetic variants linked to human ageing : 	PMC8789301
35328829	10.3390/ijms23063403	Therapeutic Treatment of Superoxide Dismutase 1 (G93A) Amyotrophic Lateral Sclerosis Model Mice with Medical Ozone Decelerates Trigeminal Motor Neuron Degeneration, … : 	PMC8950555
34942446	10.1016/j.ebiom.2021.103764	1H-NMR metabolomics-based surrogates to impute common clinical risk factors and endpoints : 	PMC8703237
35695757	10.1093/bioinformatics/btac388	MiMIR: R-shiny application to infer risk factors and endpoints from Nightingale Health's 1H-NMR Metabolomics data : 	PMC9344846
36082605	10.15252/msb.202211002	Aging is associated with increased chromatin accessibility and reduced polymerase pausing in liver : 	PMC9459415
35129436	10.7554/eLife.65117	Extensive age-dependent loss of antibody diversity in naturally short-lived turquoise killifish : 	PMC8880994
35210358	10.1261/rna.079129.122	Vault RNA1-1 riboregulates the autophagic function of p62 by binding to lysine 7 and arginine 21, both of which are critical for p62 oligomerization : 	PMC9014876
